,location,recognizability,age,participant_id,drawing_category,distance,distance_euclidean,distance_Beijing,distance_euclidean_Beijing,distance_Kisumu,distance_euclidean_Kisumu,distance_USA,distance_euclidean_USA,distance_India,distance_euclidean_India
0,Beijing,0.88330078125,9,THU9M2,cat,0.03564,3.307,0.03564453125,3.306640625,0.07666015625,4.71875,0.05419921875,3.9921875,0.05713,4.13
1,Beijing,0.0239715576171875,5,THU5M7,cat,0.04883,3.705,0.048828125,3.705078125,0.048828125,3.716796875,0.05517578125,3.962890625,0.0537,3.902
2,Beijing,0.25732421875,10,THU10F40,cup,0.000977,0.0,0.0009765625,0.0,,,,,0.05078,3.814
3,Beijing,0.626953125,4,THU4F8,car,0.05322,3.824,0.05322265625,3.82421875,0.076171875,4.53125,0.06982421875,4.3515625,0.0503,3.697
4,Beijing,0.97802734375,8,THU8F12,bird,0.05176,3.725,0.0517578125,3.724609375,0.072265625,4.3984375,0.0400390625,3.30859375,0.06152,4.098
5,Beijing,0.1083984375,5,THU6M1,cup,0.02783,2.908,0.02783203125,2.908203125,0.03515625,3.279296875,0.03369140625,3.212890625,0.0293,3.008
6,Beijing,0.036651611328125,7,THU7F42,car,0.03955,3.318,0.03955078125,3.318359375,0.1015625,5.22265625,0.0732421875,4.43359375,0.0742,4.47
7,Beijing,0.490478515625,9,THU9M46,airplane,0.06885,4.324,0.06884765625,4.32421875,0.09423828125,4.9921875,0.09912109375,5.1484375,0.0928,4.973
8,Beijing,0.7685546875,9,THU9M13,tree,0.02783,2.803,0.02783203125,2.802734375,0.04150390625,3.380859375,0.0419921875,3.3828125,0.03174,2.945
9,Beijing,0.064208984375,4,THU4F6,cup,0.04004,3.28,0.0400390625,3.279296875,0.0498046875,3.638671875,0.0498046875,3.638671875,0.04004,3.258
10,Beijing,0.984375,8,THU9F38,car,0.03125,2.826,0.03125,2.826171875,0.06640625,4.12890625,0.0439453125,3.3828125,0.05713,3.842
11,Beijing,0.10052490234375,7,THU7M17,tree,0.0327,3.053,0.03271484375,3.052734375,0.060546875,4.08984375,0.056640625,4.00390625,0.04102,3.42
12,Beijing,0.21728515625,4,THU4M7,car,0.04785,3.607,0.0478515625,3.607421875,0.05908203125,3.970703125,0.046875,3.5390625,0.05664,3.893
13,Beijing,0.990234375,9,THU9M39,bird,0.03564,3.053,0.03564453125,3.052734375,0.08837890625,4.76953125,0.05126953125,3.67578125,0.04785,3.547
14,Beijing,0.9970703125,8,THU8M21,car,0.0664,4.125,0.06640625,4.125,0.0791015625,4.5,0.0830078125,4.6171875,0.08105,4.543
15,Beijing,0.9970703125,8,THU8M14,house,0.03906,3.113,0.0390625,3.11328125,0.072265625,4.21484375,0.037109375,3.05078125,0.0415,3.22
16,Beijing,0.97509765625,7,THU7F39,bird,0.05176,3.701,0.0517578125,3.701171875,0.0556640625,3.830078125,0.052734375,3.72265625,0.0586,3.955
17,Beijing,0.97998046875,9,THU9M5,bike,0.02197,2.459,0.02197265625,2.458984375,0.02978515625,2.806640625,0.02783203125,2.7421875,0.03516,3.023
18,Beijing,0.84423828125,4,THU4F9,hat,0.02539,2.602,0.025390625,2.6015625,0.05224609375,3.744140625,0.0361328125,3.078125,0.0581,3.951
19,Beijing,0.796875,4,THU4M04,chair,0.04102,3.326,0.041015625,3.326171875,0.05078125,3.689453125,0.05078125,3.673828125,0.062,4.09
20,Beijing,0.086669921875,8,THU8M1,bird,0.0884,4.953,0.08837890625,4.953125,0.1376953125,6.08203125,0.12255859375,5.80859375,0.1216,5.77
21,Beijing,0.1217041015625,7,THU7F15,chair,0.0581,3.848,0.05810546875,3.84765625,0.0625,3.96484375,0.04833984375,3.51953125,0.0781,4.434
22,Beijing,0.82666015625,6,THU6F43,rabbit,0.042,3.377,0.0419921875,3.376953125,0.12109375,5.69921875,0.0693359375,4.35546875,0.08496,4.824
23,Beijing,0.1923828125,4,THU4M5,chair,0.05713,4.086,0.05712890625,4.0859375,0.05078125,3.841796875,0.05517578125,4.01171875,0.04053,3.479
24,Beijing,0.0196075439453125,8,THU9F2,bike,0.05176,3.777,0.0517578125,3.77734375,0.0625,4.125,0.06494140625,4.21484375,0.0503,3.727
25,Beijing,0.95947265625,9,THU9M37,car,0.04297,3.291,0.04296875,3.291015625,0.0517578125,3.603515625,0.0400390625,3.158203125,0.0498,3.506
26,Beijing,0.01141357421875,4,THU5M5,bike,0.05273,3.662,0.052734375,3.662109375,0.08349609375,4.609375,0.0791015625,4.546875,0.08154,4.594
27,Beijing,0.73583984375,9,THU9M46,bike,0.03027,2.86,0.0302734375,2.859375,0.04931640625,3.576171875,0.04833984375,3.537109375,0.06494,4.09
28,Beijing,0.038482666015625,9,THU9M37,bird,0.0864,4.715,0.08642578125,4.71484375,0.06494140625,4.07421875,0.10498046875,5.21484375,0.10645,5.242
29,Beijing,0.1014404296875,4,THU4M7,watch,0.0752,4.484,0.0751953125,4.484375,0.10693359375,5.30078125,0.1064453125,5.3515625,0.08105,4.65
30,Beijing,0.84423828125,5,THU5F2,cup,0.04346,3.367,0.04345703125,3.3671875,0.03759765625,3.087890625,0.03369140625,2.95703125,0.0415,3.309
31,Beijing,0.05029296875,6,THU6M21,bike,0.04346,3.352,0.04345703125,3.3515625,0.04541015625,3.42578125,0.0576171875,3.84765625,0.05322,3.715
32,Beijing,0.82470703125,6,THU6M3,house,0.0337,2.95,0.03369140625,2.94921875,0.05859375,3.849609375,0.03564453125,3.015625,0.04834,3.525
33,Beijing,0.0065765380859375,8,THU8F36,tree,0.06006,4.01,0.06005859375,4.01171875,0.08642578125,4.77734375,0.05810546875,3.9296875,0.0635,4.13
34,Beijing,0.93408203125,6,THU6F43,hat,0.01709,2.201,0.01708984375,2.201171875,0.02587890625,2.755859375,0.041015625,3.44921875,0.0249,2.764
35,Beijing,0.82763671875,9,THU9M22,car,0.03223,2.887,0.0322265625,2.88671875,0.0498046875,3.60546875,0.04443359375,3.40234375,0.04395,3.395
36,Beijing,0.77001953125,5,THU5F2,watch,0.04932,3.635,0.04931640625,3.634765625,0.0400390625,3.23828125,0.04248046875,3.34375,0.05273,3.73
37,Beijing,0.1932373046875,8,THU8M21,cup,0.07324,4.293,0.0732421875,4.29296875,0.08837890625,4.69140625,0.07177734375,4.25,0.10693,5.16
38,Beijing,0.2425537109375,6,THU6M2,cat,0.0537,3.98,0.0537109375,3.98046875,0.06591796875,4.37109375,0.0546875,4.01171875,0.06836,4.445
39,Beijing,0.386474609375,6,THU6F32,cup,0.02783,2.77,0.02783203125,2.76953125,0.03076171875,2.9375,0.0361328125,3.181640625,0.03662,3.182
40,Beijing,0.032501220703125,4,THU4F6,car,0.0332,3.312,0.033203125,3.3125,0.052734375,4.07421875,0.037109375,3.4609375,0.03076,3.234
41,Beijing,0.9248046875,9,THU9M5,bird,0.03174,2.938,0.03173828125,2.9375,0.0537109375,3.814453125,0.04345703125,3.4296875,0.04395,3.44
42,Beijing,0.02923583984375,4,THU5F04,airplane,0.0371,3.332,0.037109375,3.33203125,0.06103515625,4.2265625,0.03759765625,3.361328125,0.03906,3.418
43,Beijing,0.92822265625,8,THU8M35,cup,0.05713,3.838,0.05712890625,3.837890625,0.0615234375,3.95703125,0.0751953125,4.40234375,0.07324,4.33
44,Beijing,0.98388671875,6,THU6M1,cup,0.03857,3.152,0.03857421875,3.15234375,0.04736328125,3.49609375,0.06005859375,3.951171875,0.05273,3.684
45,Beijing,0.970703125,6,THU6F19,chair,0.0415,3.41,0.04150390625,3.41015625,0.04541015625,3.537109375,0.0390625,3.294921875,0.04053,3.363
46,Beijing,0.0675048828125,4,THU4M5,house,0.08936,5.465,0.08935546875,5.46484375,0.111328125,6.0390625,0.091796875,5.50390625,0.08594,5.395
47,Beijing,0.9951171875,8,THU8F34,house,0.04053,3.287,0.04052734375,3.287109375,0.07666015625,4.484375,0.041015625,3.32421875,0.04102,3.324
48,Beijing,0.93115234375,8,THU8F13,tree,0.04053,3.209,0.04052734375,3.208984375,0.08544921875,4.64453125,0.06787109375,4.14453125,0.0454,3.426
49,Beijing,0.9892578125,9,THU9M2,watch,0.02002,2.322,0.02001953125,2.322265625,0.0400390625,3.3125,0.04296875,3.3828125,0.04053,3.28
50,Beijing,0.046661376953125,6,THU6F20,car,0.05176,3.705,0.0517578125,3.705078125,0.10498046875,5.23828125,0.05859375,3.927734375,0.0698,4.27
51,Beijing,0.331298828125,7,THU7M18,chair,0.02783,2.766,0.02783203125,2.765625,0.03759765625,3.1796875,0.03173828125,2.912109375,0.04248,3.38
52,Beijing,0.93017578125,7,THU8F29,airplane,0.03076,2.914,0.03076171875,2.9140625,0.04443359375,3.568359375,0.03857421875,3.30859375,0.04785,3.662
53,Beijing,0.9716796875,8,THU8M1,bike,0.04883,3.555,0.048828125,3.5546875,0.05419921875,3.72265625,0.037109375,3.1171875,0.05713,3.838
54,Beijing,0.64794921875,4,THU4F8,cup,0.03857,3.305,0.03857421875,3.3046875,0.0517578125,3.798828125,0.05224609375,3.81640625,0.04004,3.309
55,Beijing,0.07781982421875,4,THU4M5,bird,0.03613,3.15,0.0361328125,3.150390625,0.041015625,3.32421875,0.04345703125,3.4375,0.04297,3.402
56,Beijing,0.2392578125,8,THU8M14,chair,0.06055,3.982,0.060546875,3.982421875,0.07666015625,4.4453125,0.0732421875,4.34765625,0.0654,4.11
57,Beijing,0.0384521484375,4,THU4M10,airplane,0.0459,3.732,0.0458984375,3.732421875,0.064453125,4.4140625,0.046875,3.779296875,0.0371,3.39
58,Beijing,0.9892578125,7,THU7M17,rabbit,0.03613,3.14,0.0361328125,3.140625,0.0947265625,5.07421875,0.06005859375,4.04296875,0.0874,4.875
59,Beijing,0.57421875,4,THU4F8,chair,0.04346,3.324,0.04345703125,3.32421875,0.06396484375,4.0234375,0.0556640625,3.755859375,0.062,4.035
60,Beijing,0.0589599609375,7,THU7F15,house,0.0713,4.316,0.0712890625,4.31640625,0.052734375,3.740234375,0.08251953125,4.62890625,0.05615,3.832
61,Beijing,0.7509765625,7,THU7M46,watch,0.0376,3.145,0.03759765625,3.14453125,0.04736328125,3.53125,0.0546875,3.798828125,0.05322,3.742
62,Beijing,0.927734375,7,THU7F42,watch,0.04785,3.41,0.0478515625,3.41015625,0.078125,4.328125,0.06591796875,4.06640625,0.0698,4.113
63,Beijing,0.23681640625,8,THU9M1,cup,0.04297,3.8,0.04296875,3.80078125,0.0771484375,4.953125,0.0517578125,4.12890625,0.05615,4.29
